python2-configobj 5.0.6-1
python2-crypto 2.6.1-2
python2-cryptography 0.9.3-1
python2-cssselect 0.9.1-2
python2-cssutils 1.0-2
python2-dateutil 2.4.2-1
python2-dbus 1.2.0-4
python2-dnspython 1.12.0-1
python2-docutils 0.12-1
python2-enum34 1.0.4-1
python2-eyed3 0.7.8-1
python2-faulthandler 2.4-1
python2-feedparser 5.2.0-1
python2-gflags 2.0-2
python2-gobject 3.16.2-1
python2-gobject2 2.28.6-11
python2-google-api-python-client 1.4.0-1
python2-html5lib 0.999-5
python2-httplib2 0.9.1-1
python2-idna 2.0-1
python2-ipaddress 1.0.10-1
python2-lxml 3.4.4-1
python2-mako 1.0.1-1
python2-markupsafe 0.23-2
python2-mechanize 0.2.5-4
python2-mygpoclient 1.7-3
python2-netifaces 0.10.4-1
python2-notify 0.1.1-13
python2-oauth2client 1.4.12-1
python2-pillow 2.9.0-1
python2-ply 3.6-1
python2-psutil 3.0.1-1
python2-pyasn1 0.1.8-1
python2-pyasn1-modules 0.0.6-1
python2-pycparser 2.14-1
python2-pygments 2.0.2-2
python2-pymtp 0.0.6-1
python2-pyopenssl 0.15.1-1
python2-pyqt5 5.4.2-1
python2-pyspi 0.6.1-2
python2-pysqlite 2.6.3-5
python2-rsa 3.1.4-2
python2-service-identity 14.0.0-2
python2-setuptools 1:18.0.1-1
python2-sip 4.16.8-1
python2-six 1.9.0-1
python2-speechd 0.7.1-2
python2-twisted 15.2.1-1
python2-uritemplate 0.6-1
python2-xdg 0.25-2
python2-zope-interface 4.1.2-2
pywebkitgtk 1.1.8-3
qemu 2.3.0-3
qt-at-spi 0.3.1-3
qt4 4.8.7-1
qt5-base 5.4.2-1
qt5-declarative 5.4.2-1
qt5-location 5.4.2-1
qt5-sensors 5.4.2-1
qt5-svg 5.4.2-1
qt5-webchannel 5.4.2-1
qt5-webkit 5.4.2-1
qt5-xmlpatterns 5.4.2-1
qtchooser 48-1
quvi 0.9.5-1
randrproto 1.5.0-1
raptor 2.0.15-2
rarian 0.8.1-4
rasqal 1:0.9.33-1
readline 6.3.008-1
recode 3.6-8
recordproto 1.14.2-2
redland 1:1.0.17-2
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
repacman-en 0.98-2
rest 0.7.93-1
rfkill 0.5-1
rhythmbox 3.2.1-3
rhythmbox-record-station 1.3.3-1
rpm2cpio 20040702-2
rpmextract 1.0-6
rrdtool 1.5.3-2
rsgames 1.6-1
rsync 3.1.1-4
rtmpdump 20140918-2
ruby 2.2.2-1
run-parts 4.5.1-1
s-nail 14.8.3-1
sane 1.0.24-4
sbc 1.3-1
schroedinger 1.0.11-2
scrnsaverproto 1.2.2-2
sdl 1.2.15-7
sdl2 2.0.3-1
sdl_image 1.2.12-3
seabios 1.8.2-1
sed 4.2.2-3
serf 1.3.8-1
sg3_utils 1.40-1
shadow 4.2.1-3
shared-mime-info 1.4-1
sip 4.16.8-1
smbclient 4.2.2-1
smem 1.4-1
snappy 1.1.1-1
sound-theme-freedesktop 0.8-2
soundtouch 1.8.0-1
source-highlight 3.1.8-2
sox 14.4.2-1
spacefm-git 20150510.1355-1
spandsp 0.0.6-1
speakup-utils 3.1.6-3
speech-dispatcher 0.8.3-1
speex 1.2rc2-1
speexdsp 1.2rc3-2
spice 0.12.5-1
sqlite 3.8.10.2-1
sshfs 2.5-1
sslstrip 0.9-7
startup-notification 0.12-4
strace 4.10-2
streamripper 1.64.6-3
subversion 1.8.13-2
sudo 1.8.13-1
surfraw 2.2.9-1
sysfsutils 2.1.0-9
syslinux 6.03-3
systemd 221-2
systemd-sysvcompat 221-2
t1lib 5.1.2-5
taglib 1.9.1-1
taglib-sharp 2.1.0.0-2
talloc 2.1.2-1
tar 1.28-1
tcl 8.6.4-1
tcpdump 4.7.4-1
tdb 1.3.6-1
telepathy-glib 0.24.1-1
tesseract 3.03rc1-3
tevent 0.9.24-1
texinfo 5.2-3
texlive-bin 2014.34260-8
texlive-core 2014.36709-1
thin-provisioning-tools 0.4.1-1
thunderbird 38.1.0-1
thunderbird-enigmail 1.8.2-1
thunderbird-i18n-en-us 38.1.0-1
thunderbird-i18n-es-ar 38.1.0-1
thunderbird-i18n-es-es 38.1.0-1
thunderbird-nightly 35.0a1-1
tidyhtml 1.46-3
tor-browser-en 4.5.3-1
totem 3.16.2-1
totem-plparser 3.10.4-1
traceroute 2.0.21-1
transmission-cli 2.84-1
transmission-gtk 2.84-1
tre 0.8.0-3
ttf-arabeyes-fonts 20150521-1
ttf-bitstream-vera 1.10-10
ttf-dejavu 2.34-2
ttf-liberation 2.00.1-5
ttf-persian-x2 1.0-3
ttytter 2.1.00-4
tzdata 2015e-1
ucommon 6.1.10-1
udevil 0.4.4-1
udisks2 2.1.6-1
unrar 1:5.2.7-1
unrtf 0.21.9-1
unzip 6.0-10
urlview 0.9-10
usbredir 0.7-1
usbutils 008-1
util-linux 2.26.2-1
v4l-utils 1.6.3-1
vala 0.28.0-1
vbetool 1.2.2-1
vde2 2.3.2-7
vi 1:070224-1
videoproto 2.3.2-1
vim 7.4.778-1
vim-runtime 7.4.778-1
vlc 2.2.1-6
vnstat 1.14-1
vorbis-tools 1.4.0-5
vte 0.28.2-5
vte-common 0.40.2-1
wavpack 4.75.0-1
wayland 1.8.1-1
weatherman 1.2.2-2
